TKT,VER,N1B,N1C,N2B,N2C,N3B,N3C,N4B,N4C,N5B,N5C,I1,I2,I3,I4,I5,B,P,Up
39,6789,07,02,,,39,36,53,57,73,67,free02.ai,,,,,base02.ai,1,1
,,,,,,,,,,,,winner01.ai,,,,,,1,1
94,6594,12,13,23,27,38,39,60,50,69,71,,,,,,base02.ai,2,2
116,1521,03,14,25,23,42,44,54,46,72,68,,,,,,base02.ai,2,2
39,8499,,,17,23,43,36,51,48,74,71,free01.ai,,,,,base02.ai,3,3
,,,,,,,,,,,,,,nonwinner13.ai,nonwinner08.ai,nonwinner04.ai,,3,3
,,,,,,,,,,,,,,nonwinner15.ai,nonwinner07.ai,nonwinner04.ai,,4,4
,,,,,,,,,,,,,,nonwinner06.ai,nonwinner01.ai,nonwinner14.ai,,4,4
123,3332,05,12,21,29,36,42,51,57,72,66,,,,,,base02.ai,1,5
73,3158,14,02,29,28,45,40,59,53,74,62,,,,,,base02.ai,1,5
,,,,,,,,,,,,,,nonwinner07.ai,nonwinner14.ai,nonwinner04.ai,,2,6
,,,,,,,,,,,,,,nonwinner11.ai,nonwinner04.ai,nonwinner01.ai,,2,6
41,1111,,,27,17,38,45,51,56,70,61,free01.ai,,,,,base02.ai,3,7
131,1165,09,06,20,18,37,38,48,47,71,67,,,,,,base02.ai,3,7
33,5360,10,05,26,20,,,59,49,64,68,free03.ai,,,,,base02.ai,4,8
67,6894,03,15,17,29,41,42,53,55,75,66,,,,,,base02.ai,4,8
85,8597,07,14,23,20,39,31,46,60,64,62,,,,,,base02.ai,1,9
65,1427,12,10,28,21,36,45,51,50,68,74,,,,,,base02.ai,1,9
138,4255,07,04,29,22,44,34,52,53,68,67,,,,,,base02.ai,2,10
,,,,,,,,,,,,,,nonwinner12.ai,nonwinner10.ai,nonwinner13.ai,,2,10
,,,,,,,,,,,,,,nonwinner11.ai,nonwinner15.ai,nonwinner10.ai,,3,11
123,4247,07,11,30,26,41,42,60,56,65,71,,,,,,base02.ai,3,11
44,3019,14,12,,,40,33,59,57,73,72,free02.ai,,,,,base02.ai,4,12
36,2130,05,09,23,27,,,46,47,64,68,free03.ai,,,,,base02.ai,4,12
,,,,,,,,,,,,,,nonwinner01.ai,nonwinner07.ai,nonwinner08.ai,,1,13
36,6883,04,10,,,41,40,53,47,71,64,free02.ai,,,,,base02.ai,1,13
75,3328,04,01,22,16,43,37,52,56,67,61,,,,,,base02.ai,2,14
,,,,,,,,,,,,winner01.ai,,,,,,2,14
21,7323,10,12,21,25,,,59,57,61,68,free03.ai,,,,,base02.ai,3,15
,,,,,,,,,,,,,,nonwinner13.ai,nonwinner12.ai,nonwinner09.ai,,3,15
40,4388,,,22,21,44,34,52,46,74,61,free01.ai,,,,,base02.ai,4,16
6,2406,,,,,39,40,56,54,66,71,free01.ai,free02.ai,,,,base02.ai,4,16
38,90,12,01,,,32,44,53,48,72,67,free02.ai,,,,,base02.ai,1,17
22,3540,05,14,,,32,31,49,60,69,75,free02.ai,,,,,base02.ai,1,17
46,1810,07,12,,,36,31,54,60,69,73,free02.ai,,,,,base02.ai,2,18
36,7661,12,03,25,21,45,44,,,66,75,free04.ai,,,,,base02.ai,2,18
136,4171,10,03,26,22,33,41,57,60,72,68,,,,,,base02.ai,3,19
16,5536,09,04,18,17,,,56,49,75,63,free03.ai,,,,,base02.ai,3,19
133,5759,07,11,17,25,33,40,49,55,67,72,,,,,,base02.ai,4,20
85,2407,09,12,21,26,36,39,59,48,66,62,,,,,,base02.ai,4,20
,,,,,,,,,,,,,,nonwinner08.ai,nonwinner01.ai,nonwinner15.ai,,1,21
40,6754,12,05,,,41,35,58,56,75,62,free02.ai,,,,,base02.ai,1,21
112,5051,02,11,30,21,45,32,57,48,63,67,,,,,,base02.ai,2,22
50,2821,,,24,22,40,35,60,53,61,63,free01.ai,,,,,base02.ai,2,22
113,7477,09,07,23,22,39,38,51,59,72,66,,,,,,base02.ai,3,23
49,3662,,,20,30,35,36,50,58,71,74,free01.ai,,,,,base02.ai,3,23
126,3741,01,04,27,19,32,38,46,59,61,64,,,,,,base02.ai,4,24
,,,,,,,,,,,,,,nonwinner12.ai,nonwinner01.ai,nonwinner10.ai,,4,24
76,8673,02,09,30,25,40,39,58,59,73,67,,,,,,base02.ai,1,25
90,6284,09,14,25,19,43,42,54,59,63,62,,,,,,base02.ai,1,25
18,8856,,,25,23,37,44,57,56,74,67,free01.ai,,,,,base02.ai,2,26
8,4138,07,08,,,,,46,58,68,67,free02.ai,free03.ai,,,,base02.ai,2,26
89,7501,08,01,26,25,41,36,59,56,65,71,,,,,,base02.ai,3,27
33,8787,01,05,,,44,38,47,60,75,69,free02.ai,,,,,base02.ai,3,27
59,3072,05,14,21,19,38,35,51,58,71,74,,,,,,base02.ai,4,28
125,464,02,14,26,21,45,34,55,59,73,69,,,,,,base02.ai,4,28
,,,,,,,,,,,,,,nonwinner05.ai,nonwinner11.ai,nonwinner15.ai,,1,1
75,5970,14,12,24,30,44,43,57,55,63,65,,,,,,base02.ai,1,1
28,5705,01,08,,,42,40,57,53,71,69,free02.ai,,,,,base02.ai,2,2
72,3803,10,13,24,22,41,31,57,60,71,75,,,,,,base02.ai,2,2
13,7803,,,28,20,34,33,47,53,,,free01.ai,free05.ai,,,,base02.ai,3,3
77,5385,10,04,29,21,34,44,59,55,64,72,,,,,,base02.ai,3,3
,,,,,,,,,,,,,,nonwinner15.ai,nonwinner11.ai,nonwinner14.ai,,4,4
13,5251,,,,,40,35,47,55,69,73,free01.ai,free02.ai,,,,base02.ai,4,4
71,5666,15,09,20,24,39,32,57,46,72,68,,,,,,base02.ai,1,5
,,,,,,,,,,,,,,nonwinner13.ai,nonwinner04.ai,nonwinner08.ai,,1,5
72,3803,10,13,24,22,41,31,57,60,71,75,,,,,,base02.ai,2,6
74,3363,13,06,17,25,42,40,46,53,72,75,,,,,,base02.ai,2,6
85,3198,02,11,22,29,38,33,50,57,66,63,,,,,,base02.ai,3,7
133,856,06,07,21,16,39,42,52,60,61,69,,,,,,base02.ai,3,7
35,599,13,02,,,35,44,48,46,65,62,free02.ai,,,,,base02.ai,4,8
,,,,,,,,,,,,,,nonwinner15.ai,nonwinner04.ai,nonwinner08.ai,,4,8
139,7502,04,01,20,28,41,43,59,46,64,63,,,,,,base02.ai,1,9
87,4982,12,04,17,20,32,38,60,53,75,68,,,,,,base02.ai,1,9
68,448,03,05,21,28,38,41,47,56,74,71,,,,,,base02.ai,2,10
100,3138,07,10,19,18,36,32,54,52,72,70,,,,,,base02.ai,2,10
,,,,,,,,,,,,,,nonwinner12.ai,nonwinner05.ai,nonwinner14.ai,,3,11
,,,,,,,,,,,,,,nonwinner09.ai,nonwinner15.ai,nonwinner03.ai,,3,11
110,5689,11,08,19,28,36,44,50,54,63,67,,,,,,base02.ai,4,12
112,3213,13,12,22,17,31,45,47,52,72,73,,,,,,base02.ai,4,12
106,7183,01,04,19,30,38,32,51,54,75,72,,,,,,base02.ai,1,13
30,2798,,,25,17,42,44,56,52,64,65,free01.ai,,,,,base02.ai,1,13
135,5227,11,13,24,25,42,45,52,54,74,72,,,,,,base02.ai,2,14
11,4790,,,,,38,43,53,48,70,64,free01.ai,free02.ai,,,,base02.ai,2,14
129,3289,12,11,25,27,42,32,51,60,71,65,,,,,,base02.ai,3,15
83,1904,12,10,30,21,45,33,53,47,67,74,,,,,,base02.ai,3,15
,,,,,,,,,,,,,,nonwinner12.ai,nonwinner09.ai,nonwinner11.ai,,4,16
94,6842,06,09,21,17,35,41,52,47,63,68,,,,,,base02.ai,4,16
112,3175,07,12,19,16,35,31,53,46,61,65,,,,,,base02.ai,1,17
54,3536,,,24,23,40,43,49,56,64,61,free01.ai,,,,,base02.ai,1,17
84,1738,07,11,23,18,41,42,53,49,71,70,,,,,,base02.ai,2,18
