TKT,VER,N1B,N1C,N2B,N2C,N3B,N3C,N4B,N4C,N5B,N5C,I1,I2,I3,I4,I5,B,P,CD,Up
,,,,,,,,,,,,winner04.ai,,,,,,1,4,1
61,7321,08,02,19,25,31,43,51,48,61,66,,,,,,base02.ai,1,,1
89,7266,06,03,25,19,37,43,48,57,72,73,,,,,,base02.ai,1,,1
47,8351,03,06,27,30,,,52,49,62,71,free03.ai,,,,,base02.ai,1,,1
,,,,,,,,,,,,winner05.ai,,,,,,1,,1
,,,,,,,,,,,,,,nonwinner144.ai,nonwinner145.ai,nonwinner19.ai,,1,,1
,,,,,,,,,,,,,,nonwinner132.ai,nonwinner92.ai,nonwinner51.ai,,1,,1
,,,,,,,,,,,,,,nonwinner04.ai,nonwinner20.ai,nonwinner77.ai,,2,,2
,,,,,,,,,,,,winner05.ai,,,,,,2,,2
,,,,,,,,,,,,winner05.ai,,,,,,2,,2
,,,,,,,,,,,,,,nonwinner126.ai,nonwinner138.ai,nonwinner25.ai,,2,,2
,,,,,,,,,,,,,,nonwinner14.ai,nonwinner30.ai,nonwinner44.ai,,2,,2
101,4744,03,04,23,27,31,43,52,46,75,67,,,,,,base02.ai,2,,2
,,,,,,,,,,,,winner03.ai,,,,,,2,3,2
,,,,,,,,,,,,,,nonwinner135.ai,nonwinner158.ai,nonwinner29.ai,,3,,3
,,,,,,,,,,,,winner02.ai,,,,,,3,2,3
28,1039,07,14,30,21,45,37,50,47,,,free05.ai,,,,,base02.ai,3,,3
,,,,,,,,,,,,,,nonwinner159.ai,nonwinner145.ai,nonwinner155.ai,,3,,3
42,1977,14,06,22,19,32,34,47,59,,,free05.ai,,,,,base02.ai,3,,3
,,,,,,,,,,,,,,nonwinner29.ai,nonwinner71.ai,nonwinner75.ai,,3,,3
,,,,,,,,,,,,,,nonwinner78.ai,nonwinner34.ai,nonwinner02.ai,,3,,3
84,2455,06,14,23,18,39,32,53,54,72,73,,,,,,base02.ai,4,,4
105,5360,07,05,21,20,36,44,48,49,71,68,,,,,,base02.ai,4,,4
,,,,,,,,,,,,,,nonwinner62.ai,nonwinner51.ai,nonwinner24.ai,,4,,4
,,,,,,,,,,,,,,nonwinner29.ai,nonwinner114.ai,nonwinner153.ai,,4,,4
,,,,,,,,,,,,,,nonwinner123.ai,nonwinner59.ai,nonwinner31.ai,,4,,4
49,1933,12,08,17,21,39,35,,,63,64,free04.ai,,,,,base02.ai,4,,4
,,,,,,,,,,,,winner05.ai,,,,,,4,,4
31,7627,04,08,20,17,38,34,58,51,,,free05.ai,,,,,base02.ai,1,,5
,,,,,,,,,,,,,,nonwinner115.ai,nonwinner37.ai,nonwinner95.ai,,1,,5
,,,,,,,,,,,,,,nonwinner74.ai,nonwinner26.ai,nonwinner53.ai,,1,,5
,,,,,,,,,,,,,,nonwinner108.ai,nonwinner05.ai,nonwinner37.ai,,1,,5
,,,,,,,,,,,,,,nonwinner107.ai,nonwinner74.ai,nonwinner04.ai,,1,,5
,,,,,,,,,,,,winner02.ai,,,,,,1,2,5
87,2038,03,12,28,29,39,38,53,59,67,74,,,,,,base02.ai,1,,5
,,,,,,,,,,,,winner05.ai,,,,,,2,,6
76,5758,13,06,20,18,35,31,59,48,62,72,,,,,,base02.ai,2,,6
,,,,,,,,,,,,,,nonwinner54.ai,nonwinner95.ai,nonwinner44.ai,,2,,6
125,5018,04,13,16,30,32,31,50,48,73,67,,,,,,base02.ai,2,,6
,,,,,,,,,,,,winner04.ai,,,,,,2,4,6
,,,,,,,,,,,,winner05.ai,,,,,,2,,6
,,,,,,,,,,,,winner04.ai,,,,,,2,4,6
,,,,,,,,,,,,,,nonwinner96.ai,nonwinner136.ai,nonwinner107.ai,,3,,7
78,7161,09,14,17,26,42,43,57,56,64,62,,,,,,base02.ai,3,,7
,,,,,,,,,,,,,,nonwinner06.ai,nonwinner164.ai,nonwinner32.ai,,3,,7
,,,,,,,,,,,,,,nonwinner129.ai,nonwinner128.ai,nonwinner15.ai,,3,,7
57,929,07,12,18,21,32,40,47,46,68,61,,,,,,base02.ai,3,,7
,,,,,,,,,,,,,,nonwinner156.ai,nonwinner19.ai,nonwinner106.ai,,3,,7
22,813,07,14,16,29,,,48,51,65,68,free03.ai,,,,,base02.ai,3,,7
,,,,,,,,,,,,,,nonwinner125.ai,nonwinner29.ai,nonwinner156.ai,,4,,8
,,,,,,,,,,,,,,nonwinner125.ai,nonwinner36.ai,nonwinner18.ai,,4,,8
,,,,,,,,,,,,,,nonwinner96.ai,nonwinner129.ai,nonwinner72.ai,,4,,8
60,1843,10,07,24,19,38,36,60,54,72,63,,,,,,base02.ai,4,,8
39,5052,13,04,29,22,,,55,59,61,68,free03.ai,,,,,base02.ai,4,,8
11,7581,,,23,24,,,50,58,63,64,free01.ai,free03.ai,,,,base02.ai,4,,8
,,,,,,,,,,,,winner05.ai,,,,,,4,,8
68,5257,13,01,19,26,43,34,56,47,70,67,,,,,,base02.ai,1,,1
12,618,01,06,,,33,38,55,50,,,free02.ai,free05.ai,,,,base02.ai,1,,1
,,,,,,,,,,,,,,nonwinner120.ai,nonwinner88.ai,nonwinner52.ai,,1,,1
138,8635,06,14,24,26,41,31,52,58,66,65,,,,,,base02.ai,1,,1
,,,,,,,,,,,,,,nonwinner131.ai,nonwinner109.ai,nonwinner07.ai,,1,,1
,,,,,,,,,,,,,,nonwinner162.ai,nonwinner81.ai,nonwinner72.ai,,1,,1
75,1170,01,07,18,24,41,38,52,49,65,71,,,,,,base02.ai,1,,1
,,,,,,,,,,,,,,nonwinner100.ai,nonwinner135.ai,nonwinner136.ai,,2,,2
31,5158,,,26,16,32,42,48,46,72,70,free01.ai,,,,,base02.ai,2,,2
,,,,,,,,,,,,winner05.ai,,,,,,2,,2
,,,,,,,,,,,,,,nonwinner68.ai,nonwinner72.ai,nonwinner81.ai,,2,,2
66,7050,06,08,19,28,45,40,50,60,64,71,,,,,,base02.ai,2,,2
,,,,,,,,,,,,,,nonwinner86.ai,nonwinner12.ai,nonwinner149.ai,,2,,2
,,,,,,,,,,,,,,nonwinner49.ai,nonwinner26.ai,nonwinner59.ai,,2,,2
70,1244,02,07,18,21,37,42,60,57,63,73,,,,,,base02.ai,3,,3
7,3270,14,09,17,24,,,46,55,,,free03.ai,free05.ai,,,,base02.ai,3,,3
84,2717,12,07,16,27,42,45,60,57,71,64,,,,,,base02.ai,3,,3
,,,,,,,,,,,,,,nonwinner109.ai,nonwinner94.ai,nonwinner138.ai,,3,,3
,,,,,,,,,,,,,,nonwinner157.ai,nonwinner24.ai,nonwinner49.ai,,3,,3
,,,,,,,,,,,,,,nonwinner157.ai,nonwinner10.ai,nonwinner143.ai,,3,,3
,,,,,,,,,,,,winner05.ai,,,,,,3,,3
,,,,,,,,,,,,winner05.ai,,,,,,4,,4
,,,,,,,,,,,,winner03.ai,,,,,,4,3,4
,,,,,,,,,,,,winner05.ai,,,,,,4,,4
,,,,,,,,,,,,,,nonwinner21.ai,nonwinner50.ai,nonwinner165.ai,,4,,4
14,6747,02,15,19,28,,,,,70,61,free03.ai,free04.ai,,,,base02.ai,4,,4
63,7977,11,15,23,17,36,32,47,55,73,70,,,,,,base02.ai,4,,4
,,,,,,,,,,,,,,nonwinner117.ai,nonwinner64.ai,nonwinner35.ai,,4,,4
3,4031,,,27,24,36,34,46,55,,,free01.ai,free05.ai,,,,base02.ai,1,,5
,,,,,,,,,,,,,,nonwinner29.ai,nonwinner57.ai,nonwinner155.ai,,1,,5
,,,,,,,,,,,,winner03.ai,,,,,,1,3,5
52,5284,01,05,17,23,34,32,,,62,68,free04.ai,,,,,base02.ai,1,,5
,,,,,,,,,,,,,,nonwinner84.ai,nonwinner23.ai,nonwinner123.ai,,1,,5
,,,,,,,,,,,,winner04.ai,,,,,,1,4,5
,,,,,,,,,,,,,,nonwinner111.ai,nonwinner68.ai,nonwinner157.ai,,1,,5
,,,,,,,,,,,,winner01.ai,,,,,,2,1,6
20,3105,10,08,25,17,40,34,,,70,68,free04.ai,,,,,base02.ai,2,,6
,,,,,,,,,,,,winner05.ai,,,,,,2,,6
