TKT,VER,N1B,N1C,N2B,N2C,N3B,N3C,N4B,N4C,N5B,N5C,I1,I2,I3,I4,I5,B,P,CD
,,,,,,,,,,,,,,nonwinner18.ai,nonwinner80.ai,nonwinner46.ai,,2,
,,,,,,,,,,,,,,nonwinner102.ai,nonwinner112.ai,nonwinner15.ai,,2,
,,,,,,,,,,,,,,nonwinner90.ai,nonwinner55.ai,nonwinner79.ai,,2,
,,,,,,,,,,,,,,nonwinner14.ai,nonwinner135.ai,nonwinner103.ai,,2,
,,,,,,,,,,,,,,nonwinner146.ai,nonwinner39.ai,nonwinner111.ai,,2,
,,,,,,,,,,,,,,nonwinner07.ai,nonwinner110.ai,nonwinner68.ai,,2,
,,,,,,,,,,,,,,nonwinner40.ai,nonwinner121.ai,nonwinner70.ai,,2,
,,,,,,,,,,,,,,nonwinner57.ai,nonwinner147.ai,nonwinner82.ai,,2,
,,,,,,,,,,,,,,nonwinner21.ai,nonwinner150.ai,nonwinner67.ai,,2,
,,,,,,,,,,,,,,nonwinner96.ai,nonwinner154.ai,nonwinner109.ai,,2,
,,,,,,,,,,,,,,nonwinner61.ai,nonwinner157.ai,nonwinner162.ai,,2,
,,,,,,,,,,,,,,nonwinner129.ai,nonwinner163.ai,nonwinner42.ai,,2,
,,,,,,,,,,,,,,nonwinner134.ai,nonwinner31.ai,nonwinner133.ai,,2,
,,,,,,,,,,,,,,nonwinner138.ai,nonwinner16.ai,nonwinner125.ai,,2,
,,,,,,,,,,,,,,nonwinner36.ai,nonwinner166.ai,nonwinner123.ai,,2,
,,,,,,,,,,,,,,nonwinner60.ai,nonwinner161.ai,nonwinner164.ai,,2,
,,,,,,,,,,,,,,nonwinner86.ai,nonwinner12.ai,nonwinner149.ai,,2,
,,,,,,,,,,,,,,nonwinner41.ai,nonwinner11.ai,nonwinner23.ai,,2,
,,,,,,,,,,,,,,nonwinner106.ai,nonwinner124.ai,nonwinner128.ai,,2,
,,,,,,,,,,,,,,nonwinner118.ai,nonwinner62.ai,nonwinner139.ai,,2,
,,,,,,,,,,,,,,nonwinner120.ai,nonwinner34.ai,nonwinner19.ai,,2,
,,,,,,,,,,,,,,nonwinner165.ai,nonwinner122.ai,nonwinner126.ai,,2,
,,,,,,,,,,,,,,nonwinner100.ai,nonwinner33.ai,nonwinner159.ai,,2,
,,,,,,,,,,,,,,nonwinner54.ai,nonwinner29.ai,nonwinner136.ai,,2,
,,,,,,,,,,,,,,nonwinner13.ai,nonwinner02.ai,nonwinner72.ai,,2,
,,,,,,,,,,,,,,nonwinner143.ai,nonwinner94.ai,nonwinner03.ai,,2,
,,,,,,,,,,,,,,nonwinner144.ai,nonwinner156.ai,nonwinner10.ai,,2,
,,,,,,,,,,,,,,nonwinner87.ai,nonwinner22.ai,nonwinner56.ai,,2,
,,,,,,,,,,,,,,nonwinner152.ai,nonwinner53.ai,nonwinner50.ai,,2,
,,,,,,,,,,,,,,nonwinner92.ai,nonwinner45.ai,nonwinner51.ai,,2,
,,,,,,,,,,,,,,nonwinner95.ai,nonwinner145.ai,nonwinner27.ai,,2,
,,,,,,,,,,,,,,nonwinner04.ai,nonwinner30.ai,nonwinner142.ai,,2,
,,,,,,,,,,,,,,nonwinner97.ai,nonwinner151.ai,nonwinner83.ai,,2,
,,,,,,,,,,,,,,nonwinner06.ai,nonwinner63.ai,nonwinner75.ai,,2,
,,,,,,,,,,,,,,nonwinner52.ai,nonwinner48.ai,nonwinner58.ai,,2,
,,,,,,,,,,,,,,nonwinner08.ai,nonwinner37.ai,nonwinner05.ai,,2,
,,,,,,,,,,,,,,nonwinner25.ai,nonwinner43.ai,nonwinner148.ai,,2,
,,,,,,,,,,,,,,nonwinner119.ai,nonwinner155.ai,nonwinner104.ai,,2,
,,,,,,,,,,,,,,nonwinner140.ai,nonwinner74.ai,nonwinner73.ai,,2,
,,,,,,,,,,,,,,nonwinner35.ai,nonwinner132.ai,nonwinner28.ai,,2,
,,,,,,,,,,,,,,nonwinner47.ai,nonwinner131.ai,nonwinner99.ai,,2,
,,,,,,,,,,,,,,nonwinner09.ai,nonwinner108.ai,nonwinner84.ai,,2,
,,,,,,,,,,,,,,nonwinner81.ai,nonwinner158.ai,nonwinner113.ai,,2,
,,,,,,,,,,,,,,nonwinner17.ai,nonwinner101.ai,nonwinner65.ai,,2,
,,,,,,,,,,,,,,nonwinner44.ai,nonwinner130.ai,nonwinner98.ai,,2,
,,,,,,,,,,,,,,nonwinner76.ai,nonwinner127.ai,nonwinner105.ai,,2,
,,,,,,,,,,,,,,nonwinner01.ai,nonwinner78.ai,nonwinner38.ai,,2,
,,,,,,,,,,,,,,nonwinner107.ai,nonwinner20.ai,nonwinner66.ai,,2,
,,,,,,,,,,,,,,nonwinner137.ai,nonwinner115.ai,nonwinner160.ai,,2,
,,,,,,,,,,,,,,nonwinner93.ai,nonwinner91.ai,nonwinner85.ai,,2,
,,,,,,,,,,,,,,nonwinner114.ai,nonwinner141.ai,nonwinner153.ai,,2,
,,,,,,,,,,,,,,nonwinner49.ai,nonwinner26.ai,nonwinner59.ai,,2,
,,,,,,,,,,,,,,nonwinner64.ai,nonwinner32.ai,nonwinner24.ai,,2,
,,,,,,,,,,,,,,nonwinner89.ai,nonwinner117.ai,nonwinner116.ai,,2,
,,,,,,,,,,,,,,nonwinner84.ai,nonwinner146.ai,nonwinner121.ai,,2,
,,,,,,,,,,,,,,nonwinner50.ai,nonwinner35.ai,nonwinner131.ai,,2,
,,,,,,,,,,,,,,nonwinner144.ai,nonwinner85.ai,nonwinner141.ai,,2,
,,,,,,,,,,,,,,nonwinner153.ai,nonwinner87.ai,nonwinner79.ai,,2,
