TKT,I1,NW1,NW2,NW3
,,nonwinner05.ai,nonwinner09.ai,nonwinner02.ai
,,nonwinner06.ai,nonwinner04.ai,nonwinner09.ai
,,nonwinner02.ai,nonwinner09.ai,nonwinner06.ai
,,nonwinner04.ai,nonwinner08.ai,nonwinner07.ai
,,nonwinner08.ai,nonwinner05.ai,nonwinner04.ai
23,playticket.ai,hold17.ai,hold50.ai,hold67.ai
,,nonwinner06.ai,nonwinner01.ai,nonwinner05.ai
,,nonwinner07.ai,nonwinner09.ai,nonwinner02.ai
,,nonwinner08.ai,nonwinner01.ai,nonwinner09.ai
,,nonwinner07.ai,nonwinner05.ai,nonwinner09.ai
5,playticket.ai,hold27.ai,hold56.ai,hold74.ai
,,nonwinner07.ai,nonwinner01.ai,nonwinner02.ai
,,nonwinner01.ai,nonwinner07.ai,nonwinner02.ai
,,nonwinner02.ai,nonwinner06.ai,nonwinner07.ai
,,nonwinner09.ai,nonwinner05.ai,nonwinner08.ai
,,nonwinner04.ai,nonwinner01.ai,nonwinner06.ai
,,nonwinner05.ai,nonwinner04.ai,nonwinner09.ai
,,nonwinner01.ai,nonwinner04.ai,nonwinner02.ai
,,nonwinner08.ai,nonwinner05.ai,nonwinner09.ai
,,nonwinner02.ai,nonwinner09.ai,nonwinner06.ai
,,nonwinner04.ai,nonwinner02.ai,nonwinner01.ai
20,playticket.ai,hold03.ai,hold37.ai,hold69.ai
22,playticket.ai,hold07.ai,hold47.ai,hold73.ai
,,nonwinner01.ai,nonwinner07.ai,nonwinner05.ai
,,nonwinner09.ai,nonwinner05.ai,nonwinner08.ai
,,nonwinner06.ai,nonwinner01.ai,nonwinner04.ai
,,nonwinner09.ai,nonwinner04.ai,nonwinner02.ai
4,playticket.ai,hold11.ai,hold41.ai,hold64.ai
,,nonwinner08.ai,nonwinner03.ai,nonwinner06.ai
,,nonwinner03.ai,nonwinner06.ai,nonwinner09.ai
,,nonwinner08.ai,nonwinner09.ai,nonwinner04.ai
,,nonwinner05.ai,nonwinner07.ai,nonwinner01.ai
,,nonwinner03.ai,nonwinner04.ai,nonwinner07.ai
,,nonwinner09.ai,nonwinner04.ai,nonwinner02.ai
,,nonwinner02.ai,nonwinner05.ai,nonwinner09.ai
22,playticket.ai,hold07.ai,hold47.ai,hold73.ai
,,nonwinner01.ai,nonwinner09.ai,nonwinner05.ai
,,nonwinner08.ai,nonwinner05.ai,nonwinner04.ai
8,playticket.ai,hold29.ai,hold48.ai,hold71.ai
,,nonwinner04.ai,nonwinner01.ai,nonwinner06.ai
,,nonwinner09.ai,nonwinner03.ai,nonwinner01.ai
,,nonwinner09.ai,nonwinner02.ai,nonwinner03.ai
,,nonwinner09.ai,nonwinner05.ai,nonwinner02.ai
,,nonwinner02.ai,nonwinner08.ai,nonwinner03.ai
,,nonwinner03.ai,nonwinner02.ai,nonwinner05.ai
11,playticket.ai,hold19.ai,hold39.ai,hold49.ai
,,nonwinner01.ai,nonwinner08.ai,nonwinner07.ai
,,nonwinner03.ai,nonwinner08.ai,nonwinner09.ai
2,playticket.ai,hold04.ai,hold54.ai,hold65.ai
,,nonwinner04.ai,nonwinner02.ai,nonwinner08.ai
,,nonwinner01.ai,nonwinner03.ai,nonwinner02.ai
,,nonwinner06.ai,nonwinner05.ai,nonwinner01.ai
,,nonwinner06.ai,nonwinner03.ai,nonwinner04.ai
,,nonwinner04.ai,nonwinner07.ai,nonwinner03.ai
,,nonwinner01.ai,nonwinner07.ai,nonwinner02.ai
,,nonwinner05.ai,nonwinner03.ai,nonwinner09.ai
,,nonwinner05.ai,nonwinner04.ai,nonwinner02.ai
,,nonwinner01.ai,nonwinner04.ai,nonwinner02.ai
,,nonwinner07.ai,nonwinner09.ai,nonwinner06.ai
,,nonwinner01.ai,nonwinner03.ai,nonwinner09.ai
21,playticket.ai,hold02.ai,hold18.ai,hold40.ai
,,nonwinner01.ai,nonwinner05.ai,nonwinner09.ai
23,playticket.ai,hold17.ai,hold50.ai,hold67.ai
,,nonwinner03.ai,nonwinner05.ai,nonwinner02.ai
5,playticket.ai,hold27.ai,hold56.ai,hold74.ai
,,nonwinner04.ai,nonwinner01.ai,nonwinner09.ai
,,nonwinner09.ai,nonwinner05.ai,nonwinner08.ai
,,nonwinner04.ai,nonwinner03.ai,nonwinner08.ai
2,playticket.ai,hold04.ai,hold54.ai,hold65.ai
,,nonwinner06.ai,nonwinner04.ai,nonwinner07.ai
,,nonwinner08.ai,nonwinner09.ai,nonwinner02.ai
,,nonwinner02.ai,nonwinner05.ai,nonwinner01.ai
,,nonwinner05.ai,nonwinner02.ai,nonwinner04.ai
,,nonwinner05.ai,nonwinner08.ai,nonwinner01.ai
,,nonwinner03.ai,nonwinner09.ai,nonwinner02.ai
,,nonwinner08.ai,nonwinner03.ai,nonwinner06.ai
,,nonwinner07.ai,nonwinner06.ai,nonwinner03.ai
,,nonwinner07.ai,nonwinner01.ai,nonwinner06.ai
,,nonwinner08.ai,nonwinner04.ai,nonwinner06.ai
,,nonwinner09.ai,nonwinner05.ai,nonwinner04.ai
,,nonwinner05.ai,nonwinner01.ai,nonwinner02.ai
23,playticket.ai,hold17.ai,hold50.ai,hold67.ai
,,nonwinner08.ai,nonwinner05.ai,nonwinner09.ai
,,nonwinner09.ai,nonwinner05.ai,nonwinner04.ai
,,nonwinner03.ai,nonwinner06.ai,nonwinner05.ai
6,playticket.ai,hold10.ai,hold32.ai,hold70.ai
,,nonwinner02.ai,nonwinner05.ai,nonwinner08.ai
,,nonwinner05.ai,nonwinner09.ai,nonwinner08.ai
,,nonwinner05.ai,nonwinner04.ai,nonwinner09.ai
,,nonwinner04.ai,nonwinner02.ai,nonwinner08.ai
,,nonwinner09.ai,nonwinner07.ai,nonwinner03.ai
6,playticket.ai,hold10.ai,hold32.ai,hold70.ai
,,nonwinner04.ai,nonwinner08.ai,nonwinner07.ai
,,nonwinner09.ai,nonwinner05.ai,nonwinner04.ai
,,nonwinner07.ai,nonwinner06.ai,nonwinner03.ai
,,nonwinner05.ai,nonwinner08.ai,nonwinner01.ai
21,playticket.ai,hold02.ai,hold18.ai,hold40.ai
,,nonwinner05.ai,nonwinner09.ai,nonwinner08.ai
,,nonwinner05.ai,nonwinner02.ai,nonwinner03.ai
,,nonwinner03.ai,nonwinner08.ai,nonwinner06.ai
,,nonwinner01.ai,nonwinner09.ai,nonwinner06.ai
,,nonwinner09.ai,nonwinner02.ai,nonwinner08.ai
,,nonwinner08.ai,nonwinner02.ai,nonwinner09.ai
,,nonwinner05.ai,nonwinner03.ai,nonwinner09.ai
,,nonwinner01.ai,nonwinner07.ai,nonwinner05.ai
,,nonwinner04.ai,nonwinner02.ai,nonwinner07.ai
,,nonwinner02.ai,nonwinner03.ai,nonwinner01.ai
,,nonwinner05.ai,nonwinner02.ai,nonwinner04.ai
,,nonwinner03.ai,nonwinner06.ai,nonwinner02.ai
7,playticket.ai,hold16.ai,hold31.ai,hold51.ai
,,nonwinner08.ai,nonwinner07.ai,nonwinner01.ai
,,nonwinner08.ai,nonwinner05.ai,nonwinner03.ai
10,playticket.ai,hold05.ai,hold30.ai,hold75.ai
