part,up,tier,position
AAA-14R_001,8,2,74
AAA-14R_002,1,1,9
AAA-14R_002,5,2,42
AAA-14R_003,7,3,66
AAA-14R_004,2,3,14
AAA-14R_005,4,3,32
AAA-14R_006,3,2,24
AAA-14R_011,3,2,22
AAA-14R_011,4,1,39
AAA-14R_011,8,3,76
AAA-14R_012,1,2,2
AAA-14R_013,6,3,55
AAA-14R_013,7,3,68
AAA-14R_014,3,3,25
AAA-14R_014,8,3,78
AAA-14R_016,1,2,4
AAA-14R_016,2,3,12
AAA-14R_019,6,2,58
AAA-14R_019,7,2,69
AAA-14R_020,4,2,36
AAA-14R_020,5,2,45
AAA-14R_021,8,3,73
AAA-14R_022,6,3,51
AAA-14R_023,2,3,14
AAA-14R_023,4,2,36
AAA-14R_026,5,3,44
AAA-14R_028,2,3,19
AAA-14R_029,3,3,22
AAA-14R_029,5,2,47
AAA-14R_029,6,3,58
AAA-14R_030,1,2,10
AAA-14R_032,7,1,70
AAA-14R_032,8,2,73
AAA-14R_035,2,2,11
AAA-14R_035,3,3,25
AAA-14R_036,4,3,40
AAA-14R_037,6,3,56
AAA-14R_037,8,3,79
AAA-14R_038,7,3,66
AAA-14R_040,1,3,1
AAA-14R_040,5,3,41
AAA-14R_042,1,3,9
AAA-14R_043,6,2,52
AAA-14R_044,2,2,11
AAA-14R_044,7,2,66
AAA-14R_044,8,3,74
AAA-14R_045,4,3,31
AAA-14R_045,5,3,44
AAA-14R_046,3,3,29
AAA-14R_048,8,2,77
AAA-14R_050,1,3,7
AAA-14R_051,3,1,24
AAA-14R_051,4,3,33
AAA-14R_051,5,3,45
AAA-14R_051,7,3,66
AAA-14R_052,2,1,16
AAA-14R_053,6,1,55
AAA-14R_054,2,2,19
AAA-14R_054,6,2,57
AAA-14R_055,4,3,34
AAA-14R_058,1,3,5
AAA-14R_058,7,3,70
AAA-14R_059,3,3,22
AAA-14R_060,2,3,15
AAA-14R_060,5,1,43
AAA-14R_060,5,3,50
AAA-14R_062,3,2,25
AAA-14R_063,7,2,68
AAA-14R_064,4,2,38
AAA-14R_065,8,1,79
AAA-14R_066,1,3,5
AAA-14R_066,6,3,55
