TKT,I1,P
1,nonwinner02.ai,1
2,nonwinner01.ai,1
3,nonwinner05.ai,1
4,nonwinner13.ai,1
5,nonwinner11.ai,1
6,nonwinner10.ai,1
7,nonwinner06.ai,1
8,nonwinner08.ai,1
9,nonwinner12.ai,1
10,nonwinner03.ai,1
11,nonwinner09.ai,1
12,nonwinner15.ai,1
13,nonwinner07.ai,1
14,nonwinner14.ai,1
15,nonwinner04.ai,1
16,nonwinner02.ai,1
17,nonwinner01.ai,1
18,nonwinner05.ai,1
19,nonwinner13.ai,1
20,nonwinner11.ai,1
21,nonwinner10.ai,1
22,nonwinner06.ai,1
23,nonwinner08.ai,1
24,nonwinner12.ai,1
25,nonwinner03.ai,1
26,nonwinner09.ai,1
27,nonwinner15.ai,1
28,nonwinner07.ai,1
29,nonwinner14.ai,1
30,nonwinner04.ai,1
31,nonwinner02.ai,1
32,nonwinner01.ai,1
33,nonwinner05.ai,1
34,nonwinner13.ai,1
35,nonwinner11.ai,1
36,nonwinner10.ai,1
37,nonwinner06.ai,1
38,nonwinner08.ai,1
39,nonwinner12.ai,1
40,nonwinner03.ai,1
41,nonwinner09.ai,1
42,nonwinner15.ai,1
43,nonwinner07.ai,1
44,nonwinner14.ai,1
45,nonwinner04.ai,1
46,nonwinner02.ai,1
47,nonwinner01.ai,1
48,nonwinner05.ai,1
49,nonwinner13.ai,1
50,nonwinner11.ai,1
51,nonwinner10.ai,1
52,nonwinner06.ai,1
53,nonwinner08.ai,1
54,nonwinner12.ai,1
55,nonwinner03.ai,1
56,nonwinner09.ai,1
57,nonwinner15.ai,1
58,nonwinner07.ai,1
59,nonwinner14.ai,1
60,nonwinner04.ai,1
61,nonwinner02.ai,1
62,nonwinner01.ai,1
63,nonwinner05.ai,1
64,nonwinner13.ai,1
65,nonwinner11.ai,1
66,nonwinner10.ai,1
67,nonwinner06.ai,1
68,nonwinner08.ai,1
69,nonwinner12.ai,1
70,nonwinner03.ai,1
71,nonwinner09.ai,1
72,nonwinner15.ai,1
73,nonwinner07.ai,1
74,nonwinner14.ai,1
75,nonwinner04.ai,1
76,nonwinner02.ai,1
77,nonwinner01.ai,1
78,nonwinner05.ai,1
79,nonwinner13.ai,1
80,nonwinner11.ai,1
81,nonwinner10.ai,1
82,nonwinner06.ai,1
83,nonwinner08.ai,1
84,nonwinner12.ai,1
85,nonwinner03.ai,1
86,nonwinner09.ai,1
87,nonwinner15.ai,1
88,nonwinner07.ai,1
89,nonwinner14.ai,1
90,nonwinner04.ai,1
91,nonwinner02.ai,1
92,nonwinner01.ai,1
93,nonwinner05.ai,1
94,nonwinner13.ai,1
95,nonwinner11.ai,1
96,nonwinner10.ai,1
97,nonwinner06.ai,1
98,nonwinner08.ai,1
99,nonwinner12.ai,1
100,nonwinner03.ai,1
101,nonwinner09.ai,1
102,nonwinner15.ai,1
103,nonwinner07.ai,1
104,nonwinner14.ai,1
105,nonwinner04.ai,1
106,nonwinner02.ai,1
107,nonwinner01.ai,1
108,nonwinner05.ai,1
109,nonwinner13.ai,1
110,nonwinner11.ai,1
111,nonwinner10.ai,1
112,nonwinner06.ai,1
113,nonwinner08.ai,1
114,nonwinner12.ai,1
115,nonwinner03.ai,1
116,nonwinner09.ai,1
117,nonwinner15.ai,1
118,nonwinner07.ai,1
119,nonwinner14.ai,1
120,nonwinner04.ai,1
121,nonwinner02.ai,1
122,nonwinner01.ai,1
123,nonwinner05.ai,1
124,nonwinner13.ai,1
125,nonwinner11.ai,1
126,nonwinner10.ai,1
127,nonwinner06.ai,1
128,nonwinner08.ai,1
129,nonwinner12.ai,1
130,nonwinner03.ai,1
131,nonwinner09.ai,1
132,nonwinner15.ai,1
133,nonwinner07.ai,1
134,nonwinner14.ai,1
135,nonwinner04.ai,1
136,nonwinner02.ai,1
137,nonwinner01.ai,1
138,nonwinner05.ai,1
139,nonwinner13.ai,1
140,nonwinner11.ai,1
141,nonwinner10.ai,1
142,nonwinner06.ai,1
143,nonwinner08.ai,1
144,nonwinner12.ai,1
145,nonwinner03.ai,1
146,nonwinner09.ai,1
147,nonwinner15.ai,1
148,nonwinner07.ai,1
149,nonwinner14.ai,1
150,nonwinner04.ai,1
151,nonwinner02.ai,1
152,nonwinner01.ai,1
153,nonwinner05.ai,1
154,nonwinner13.ai,1
155,nonwinner11.ai,1
156,nonwinner10.ai,1
157,nonwinner06.ai,1
158,nonwinner08.ai,1
