TKT,I1,P,Up
27,nonwinner027.ai,1,1
265,winner04.ai,1,1
40,nonwinner040.ai,1,1
33,nonwinner033.ai,1,1
256,winner02.ai,1,2
63,nonwinner063.ai,1,2
14,nonwinner014.ai,1,2
195,hold043.ai,1,2
262,winner04.ai,1,3
267,winner04.ai,1,3
43,nonwinner043.ai,1,3
150,nonwinner150.ai,1,3
59,nonwinner059.ai,1,4
243,hold091.ai,1,4
198,hold046.ai,1,4
82,nonwinner082.ai,1,4
65,nonwinner065.ai,1,5
285,winner04.ai,1,5
215,hold063.ai,1,5
250,hold098.ai,1,5
23,nonwinner023.ai,1,6
185,hold033.ai,1,6
85,nonwinner085.ai,1,6
171,hold019.ai,1,6
164,hold012.ai,1,7
286,winner04.ai,1,7
244,hold092.ai,1,7
319,winner05.ai,1,7
278,winner04.ai,1,8
203,hold051.ai,1,8
204,hold052.ai,1,8
199,hold047.ai,1,8
218,hold066.ai,1,9
207,hold055.ai,1,9
263,winner04.ai,1,9
293,winner05.ai,1,9
147,nonwinner147.ai,1,10
110,nonwinner110.ai,1,10
26,nonwinner026.ai,1,10
215,hold063.ai,1,10
330,winner05.ai,1,11
204,hold052.ai,1,11
138,nonwinner138.ai,1,11
291,winner05.ai,1,11
196,hold044.ai,1,12
186,hold034.ai,1,12
21,nonwinner021.ai,1,12
180,hold028.ai,1,12
283,winner04.ai,1,13
279,winner04.ai,1,13
186,hold034.ai,1,13
129,nonwinner129.ai,1,13
97,nonwinner097.ai,1,14
320,winner05.ai,1,14
4,nonwinner004.ai,1,14
209,hold057.ai,1,14
24,nonwinner024.ai,1,1
1,nonwinner001.ai,1,1
197,hold045.ai,1,1
138,nonwinner138.ai,1,1
220,hold068.ai,1,2
164,hold012.ai,1,2
289,winner05.ai,1,2
319,winner05.ai,1,2
98,nonwinner098.ai,1,3
178,hold026.ai,1,3
213,hold061.ai,1,3
272,winner04.ai,1,3
189,hold037.ai,1,4
250,hold098.ai,1,4
134,nonwinner134.ai,1,4
257,winner03.ai,1,4
316,winner05.ai,1,5
83,nonwinner083.ai,1,5
2,nonwinner002.ai,1,5
118,nonwinner118.ai,1,5
58,nonwinner058.ai,1,6
246,hold094.ai,1,6
292,winner05.ai,1,6
247,hold095.ai,1,6
287,winner05.ai,1,7
67,nonwinner067.ai,1,7
229,hold077.ai,1,7
66,nonwinner066.ai,1,7
271,winner04.ai,1,8
275,winner04.ai,1,8
266,winner04.ai,1,8
64,nonwinner064.ai,1,8
235,hold083.ai,1,9
79,nonwinner079.ai,1,9
253,winner01.ai,1,9
127,nonwinner127.ai,1,9
67,nonwinner067.ai,1,10
263,winner04.ai,1,10
19,nonwinner019.ai,1,10
149,nonwinner149.ai,1,10
152,nonwinner152.ai,1,11
76,nonwinner076.ai,1,11
228,hold076.ai,1,11
48,nonwinner048.ai,1,11
183,hold031.ai,1,12
64,nonwinner064.ai,1,12
194,hold042.ai,1,12
247,hold095.ai,1,12
208,hold056.ai,1,13
34,nonwinner034.ai,1,13
52,nonwinner052.ai,1,13
179,hold027.ai,1,13
146,nonwinner146.ai,1,14
218,hold066.ai,1,14
266,winner04.ai,1,14
66,nonwinner066.ai,1,14
46,nonwinner046.ai,1,1
273,winner04.ai,1,1
127,nonwinner127.ai,1,1
98,nonwinner098.ai,1,1
15,nonwinner015.ai,1,2
236,hold084.ai,1,2
114,nonwinner114.ai,1,2
221,hold069.ai,1,2
330,winner05.ai,1,3
139,nonwinner139.ai,1,3
34,nonwinner034.ai,1,3
315,winner05.ai,1,3
1,nonwinner001.ai,1,4
90,nonwinner090.ai,1,4
66,nonwinner066.ai,1,4
183,hold031.ai,1,4
298,winner05.ai,1,5
243,hold091.ai,1,5
124,nonwinner124.ai,1,5
193,hold041.ai,1,5
90,nonwinner090.ai,1,6
165,hold013.ai,1,6
276,winner04.ai,1,6
274,winner04.ai,1,6
321,winner05.ai,1,7
93,nonwinner093.ai,1,7
120,nonwinner120.ai,1,7
320,winner05.ai,1,7
236,hold084.ai,1,8
