part,up,tier,position
AAA-14R_001,2,2,9
AAA-14R_002,4,3,4
AAA-14R_002,9,1,41
AAA-14R_005,4,1,26
AAA-14R_005,6,1,20
AAA-14R_005,12,2,40
AAA-14R_006,1,2,1
AAA-14R_008,10,2,45
AAA-14R_008,14,3,56
AAA-14R_010,1,3,5
AAA-14R_011,5,2,12
AAA-14R_013,7,3,28
AAA-14R_014,5,2,11
AAA-14R_014,13,1,47
AAA-14R_015,10,3,49
AAA-14R_015,10,3,50
AAA-14R_016,2,3,10
AAA-14R_018,4,3,25
AAA-14R_018,5,1,12
AAA-14R_018,6,2,20
AAA-14R_018,12,3,36
AAA-14R_019,2,3,14
AAA-14R_019,7,3,27
AAA-14R_019,10,2,49
AAA-14R_020,3,3,22
AAA-14R_020,11,3,54
AAA-14R_020,12,3,40
AAA-14R_021,7,1,23
AAA-14R_023,3,2,22
AAA-14R_023,8,3,29
AAA-14R_024,12,3,40
AAA-14R_025,5,3,12
AAA-14R_025,7,3,24
AAA-14R_026,4,3,26
AAA-14R_026,8,3,34
AAA-14R_028,2,3,14
AAA-14R_028,4,3,25
AAA-14R_028,9,3,42
AAA-14R_029,1,3,5
AAA-14R_029,5,3,8
AAA-14R_029,12,3,39
AAA-14R_030,1,1,2
AAA-14R_030,1,3,6
AAA-14R_030,6,3,19
AAA-14R_032,6,3,15
AAA-14R_032,8,3,30
AAA-14R_034,7,3,27
AAA-14R_035,7,2,28
AAA-14R_036,1,2,2
AAA-14R_036,14,3,52
AAA-14R_037,14,3,56
AAA-14R_038,8,3,30
AAA-14R_039,2,3,10
AAA-14R_039,11,3,53
AAA-14R_040,9,2,37
AAA-14R_041,11,2,32
AAA-14R_042,1,2,6
AAA-14R_043,3,3,17
AAA-14R_044,6,3,20
AAA-14R_044,7,3,24
AAA-14R_044,14,2,56
AAA-14R_045,10,1,46
AAA-14R_046,5,2,11
AAA-14R_046,11,3,54
AAA-14R_047,3,2,22
AAA-14R_047,4,2,3
AAA-14R_047,9,3,41
AAA-14R_047,11,3,32
AAA-14R_048,1,3,6
AAA-14R_048,5,3,11
AAA-14R_048,11,1,32
AAA-14R_049,9,2,42
AAA-14R_049,12,2,40
AAA-14R_049,13,3,43
AAA-14R_050,11,2,31
AAA-14R_051,2,2,9
AAA-14R_051,9,2,37
AAA-14R_051,12,3,40
AAA-14R_051,13,2,43
AAA-14R_052,2,2,13
AAA-14R_052,3,1,18
AAA-14R_052,4,2,25
AAA-14R_053,6,3,19
AAA-14R_053,10,3,46
AAA-14R_054,3,3,21
AAA-14R_054,8,2,34
AAA-14R_054,9,3,41
AAA-14R_054,10,2,50
AAA-14R_054,13,3,48
AAA-14R_055,9,3,37
AAA-14R_056,7,2,28
AAA-14R_056,8,3,29
AAA-14R_057,4,3,3
AAA-14R_057,11,3,31
AAA-14R_057,13,3,47
AAA-14R_059,14,3,51
AAA-14R_059,14,1,55
AAA-14R_060,10,3,46
AAA-14R_061,1,3,5
AAA-14R_061,7,2,27
AAA-14R_061,8,1,34
AAA-14R_062,6,2,20
AAA-14R_064,3,3,17
AAA-14R_065,2,1,14
AAA-14R_067,13,2,47
AAA-14R_067,13,3,48
AAA-14R_068,12,1,39
AAA-14R_068,14,3,51
AAA-14R_069,3,3,22
AAA-14R_069,9,3,37
AAA-14R_069,12,2,39
AAA-14R_070,3,2,17
AAA-14R_072,5,3,7
AAA-14R_072,8,2,33
AAA-14R_072,11,2,31
AAA-14R_072,13,2,44
AAA-14R_075,14,2,51
AAA-14R_075,14,2,55
AAA-14R_078,6,2,20
AAA-14R_078,10,3,50
AAA-14R_080,2,3,9
AAA-14R_080,8,2,30
AAA-14R_082,5,3,7
AAA-14R_083,6,3,15
AAA-14R_084,4,2,3
AAA-14R_084,13,3,47
