TKT,I1,P,Up
615,hold15.ai,1,1
22,nonwinner02.ai,1,1
95,nonwinner04.ai,1,1
60,nonwinner01.ai,1,1
494,nonwinner07.ai,1,1
42,nonwinner02.ai,1,1
585,nonwinner04.ai,1,1
495,nonwinner04.ai,1,1
118,nonwinner10.ai,1,1
281,nonwinner08.ai,1,1
508,nonwinner10.ai,1,2
632,winner03.ai,1,2
220,nonwinner01.ai,1,2
397,nonwinner03.ai,1,2
493,nonwinner05.ai,1,2
18,nonwinner10.ai,1,2
194,nonwinner07.ai,1,2
505,nonwinner04.ai,1,2
381,nonwinner08.ai,1,2
412,nonwinner02.ai,1,2
88,nonwinner10.ai,1,3
41,nonwinner08.ai,1,3
570,nonwinner01.ai,1,3
408,nonwinner10.ai,1,3
259,nonwinner09.ai,1,3
102,nonwinner02.ai,1,3
233,nonwinner05.ai,1,3
112,nonwinner02.ai,1,3
238,nonwinner10.ai,1,3
128,nonwinner10.ai,1,3
398,nonwinner10.ai,1,4
120,nonwinner01.ai,1,4
275,nonwinner04.ai,1,4
75,nonwinner04.ai,1,4
461,nonwinner08.ai,1,4
263,nonwinner05.ai,1,4
337,nonwinner03.ai,1,4
61,nonwinner08.ai,1,4
345,nonwinner04.ai,1,4
628,winner03.ai,1,4
209,nonwinner09.ai,1,5
436,nonwinner06.ai,1,5
542,nonwinner02.ai,1,5
460,nonwinner01.ai,1,5
496,nonwinner06.ai,1,5
566,nonwinner06.ai,1,5
552,nonwinner02.ai,1,5
463,nonwinner05.ai,1,5
398,nonwinner10.ai,1,5
330,nonwinner01.ai,1,5
312,nonwinner02.ai,1,6
224,nonwinner07.ai,1,6
166,nonwinner06.ai,1,6
233,nonwinner05.ai,1,6
120,nonwinner01.ai,1,6
221,nonwinner08.ai,1,6
249,nonwinner09.ai,1,6
296,nonwinner06.ai,1,6
553,nonwinner05.ai,1,6
245,nonwinner04.ai,1,6
477,nonwinner03.ai,1,7
660,winner04.ai,1,7
607,hold07.ai,1,7
364,nonwinner07.ai,1,7
280,nonwinner01.ai,1,7
558,nonwinner10.ai,1,7
141,nonwinner08.ai,1,7
405,nonwinner04.ai,1,7
186,nonwinner06.ai,1,7
253,nonwinner05.ai,1,7
243,nonwinner05.ai,1,8
570,nonwinner01.ai,1,8
457,nonwinner03.ai,1,8
551,nonwinner08.ai,1,8
504,nonwinner07.ai,1,8
262,nonwinner02.ai,1,8
227,nonwinner03.ai,1,8
387,nonwinner03.ai,1,8
22,nonwinner02.ai,1,8
404,nonwinner07.ai,1,8
565,nonwinner04.ai,1,1
481,nonwinner08.ai,1,1
119,nonwinner09.ai,1,1
377,nonwinner03.ai,1,1
351,nonwinner08.ai,1,1
56,nonwinner06.ai,1,1
178,nonwinner10.ai,1,1
485,nonwinner04.ai,1,1
340,nonwinner01.ai,1,1
518,nonwinner10.ai,1,1
515,nonwinner04.ai,1,2
70,nonwinner01.ai,1,2
244,nonwinner07.ai,1,2
294,nonwinner07.ai,1,2
440,nonwinner01.ai,1,2
272,nonwinner02.ai,1,2
622,winner02.ai,1,2
630,winner03.ai,1,2
295,nonwinner04.ai,1,2
560,nonwinner01.ai,1,2
632,winner03.ai,1,3
69,nonwinner09.ai,1,3
448,nonwinner10.ai,1,3
511,nonwinner08.ai,1,3
337,nonwinner03.ai,1,3
43,nonwinner05.ai,1,3
108,nonwinner10.ai,1,3
235,nonwinner04.ai,1,3
101,nonwinner08.ai,1,3
311,nonwinner08.ai,1,3
372,nonwinner02.ai,1,4
224,nonwinner07.ai,1,4
315,nonwinner04.ai,1,4
546,nonwinner06.ai,1,4
133,nonwinner05.ai,1,4
272,nonwinner02.ai,1,4
449,nonwinner09.ai,1,4
567,nonwinner03.ai,1,4
31,nonwinner08.ai,1,4
511,nonwinner08.ai,1,4
367,nonwinner03.ai,1,5
168,nonwinner10.ai,1,5
127,nonwinner03.ai,1,5
595,nonwinner04.ai,1,5
557,nonwinner03.ai,1,5
399,nonwinner09.ai,1,5
338,nonwinner10.ai,1,5
636,winner04.ai,1,5
516,nonwinner06.ai,1,5
279,nonwinner09.ai,1,5
180,nonwinner01.ai,1,6
11,nonwinner08.ai,1,6
32,nonwinner02.ai,1,6
300,nonwinner01.ai,1,6
448,nonwinner10.ai,1,6
338,nonwinner10.ai,1,6
74,nonwinner07.ai,1,6
387,nonwinner03.ai,1,6
504,nonwinner07.ai,1,6
410,nonwinner01.ai,1,6
3,nonwinner05.ai,1,7
338,nonwinner10.ai,1,7
83,nonwinner05.ai,1,7
336,nonwinner06.ai,1,7
626,winner03.ai,1,7
194,nonwinner07.ai,1,7
638,winner04.ai,1,7
367,nonwinner03.ai,1,7
469,nonwinner09.ai,1,7
547,nonwinner03.ai,1,7
430,nonwinner01.ai,1,8
200,nonwinner01.ai,1,8
454,nonwinner07.ai,1,8
290,nonwinner01.ai,1,8
201,nonwinner08.ai,1,8
388,nonwinner10.ai,1,8
569,nonwinner09.ai,1,8
402,nonwinner02.ai,1,8
542,nonwinner02.ai,1,8
110,nonwinner01.ai,1,8
96,nonwinner06.ai,1,1
222,nonwinner02.ai,1,1
589,nonwinner09.ai,1,1
160,nonwinner01.ai,1,1
272,nonwinner02.ai,1,1
136,nonwinner06.ai,1,1
234,nonwinner07.ai,1,1
545,nonwinner04.ai,1,1
398,nonwinner10.ai,1,1
458,nonwinner10.ai,1,1
594,nonwinner07.ai,1,2
413,nonwinner05.ai,1,2
564,nonwinner07.ai,1,2
375,nonwinner04.ai,1,2
302,nonwinner02.ai,1,2
224,nonwinner07.ai,1,2
19,nonwinner09.ai,1,2
317,nonwinner03.ai,1,2
364,nonwinner07.ai,1,2
288,nonwinner10.ai,1,2
500,nonwinner01.ai,1,3
324,nonwinner07.ai,1,3
543,nonwinner05.ai,1,3
381,nonwinner08.ai,1,3
611,hold11.ai,1,3
636,winner04.ai,1,3
489,nonwinner09.ai,1,3
355,nonwinner04.ai,1,3
507,nonwinner03.ai,1,3
185,nonwinner04.ai,1,3
400,nonwinner01.ai,1,4
19,nonwinner09.ai,1,4
501,nonwinner08.ai,1,4
70,nonwinner01.ai,1,4
439,nonwinner09.ai,1,4
34,nonwinner07.ai,1,4
518,nonwinner10.ai,1,4
298,nonwinner10.ai,1,4
77,nonwinner03.ai,1,4
519,nonwinner09.ai,1,4
382,nonwinner02.ai,1,5
364,nonwinner07.ai,1,5
539,nonwinner09.ai,1,5
425,nonwinner04.ai,1,5
