part,up,tier,position
AAA-14R_002,2,2,17
AAA-14R_004,6,2,60
AAA-14R_007,1,2,8
AAA-14R_007,1,2,9
AAA-14R_007,8,2,77
AAA-14R_009,8,1,78
AAA-14R_013,3,2,21
AAA-14R_014,4,2,37
AAA-14R_015,1,2,8
AAA-14R_015,4,2,38
AAA-14R_016,1,2,9
AAA-14R_016,4,2,36
AAA-14R_016,7,2,69
AAA-14R_017,3,2,26
AAA-14R_019,3,2,26
AAA-14R_021,1,2,4
AAA-14R_021,5,2,50
AAA-14R_022,5,2,50
AAA-14R_023,2,1,12
AAA-14R_023,5,2,41
AAA-14R_023,8,2,78
AAA-14R_024,6,2,53
AAA-14R_025,6,1,60
AAA-14R_027,1,2,8
AAA-14R_027,6,2,52
AAA-14R_028,7,1,68
AAA-14R_029,5,1,49
AAA-14R_029,8,2,72
AAA-14R_030,2,2,18
AAA-14R_031,1,2,4
AAA-14R_032,6,2,53
AAA-14R_033,3,2,29
AAA-14R_035,3,1,24
AAA-14R_036,2,2,13
AAA-14R_036,7,2,68
AAA-14R_037,6,2,54
AAA-14R_037,7,2,62
AAA-14R_038,4,2,35
AAA-14R_038,7,2,61
AAA-14R_039,4,1,33
AAA-14R_039,5,2,43
AAA-14R_039,5,2,44
AAA-14R_041,6,2,55
AAA-14R_043,6,2,51
AAA-14R_043,7,2,67
AAA-14R_045,2,2,15
AAA-14R_045,3,2,26
AAA-14R_049,7,2,67
AAA-14R_050,1,1,10
AAA-14R_050,3,2,23
AAA-14R_052,2,2,12
AAA-14R_053,2,2,13
AAA-14R_053,2,2,16
AAA-14R_054,7,2,63
AAA-14R_054,8,2,73
AAA-14R_056,3,2,25
AAA-14R_058,4,2,37
AAA-14R_058,5,2,45
AAA-14R_059,8,2,72
AAA-14R_060,8,2,80
AAA-14R_061,5,2,44
AAA-14R_061,8,2,75
AAA-14R_065,4,2,34
AAA-14R_066,4,2,32
