TKT,I1,P
1,nonwinner08.ai,1
2,nonwinner02.ai,1
3,nonwinner05.ai,1
4,nonwinner07.ai,1
5,nonwinner04.ai,1
6,nonwinner06.ai,1
7,nonwinner03.ai,1
8,nonwinner10.ai,1
9,nonwinner09.ai,1
10,nonwinner01.ai,1
11,nonwinner08.ai,1
12,nonwinner02.ai,1
13,nonwinner05.ai,1
14,nonwinner07.ai,1
15,nonwinner04.ai,1
16,nonwinner06.ai,1
17,nonwinner03.ai,1
18,nonwinner10.ai,1
19,nonwinner09.ai,1
20,nonwinner01.ai,1
21,nonwinner08.ai,1
22,nonwinner02.ai,1
23,nonwinner05.ai,1
24,nonwinner07.ai,1
25,nonwinner04.ai,1
26,nonwinner06.ai,1
27,nonwinner03.ai,1
28,nonwinner10.ai,1
29,nonwinner09.ai,1
30,nonwinner01.ai,1
31,nonwinner08.ai,1
32,nonwinner02.ai,1
33,nonwinner05.ai,1
34,nonwinner07.ai,1
35,nonwinner04.ai,1
36,nonwinner06.ai,1
37,nonwinner03.ai,1
38,nonwinner10.ai,1
39,nonwinner09.ai,1
40,nonwinner01.ai,1
41,nonwinner08.ai,1
42,nonwinner02.ai,1
43,nonwinner05.ai,1
44,nonwinner07.ai,1
45,nonwinner04.ai,1
46,nonwinner06.ai,1
47,nonwinner03.ai,1
48,nonwinner10.ai,1
49,nonwinner09.ai,1
50,nonwinner01.ai,1
51,nonwinner08.ai,1
52,nonwinner02.ai,1
53,nonwinner05.ai,1
54,nonwinner07.ai,1
55,nonwinner04.ai,1
56,nonwinner06.ai,1
57,nonwinner03.ai,1
58,nonwinner10.ai,1
59,nonwinner09.ai,1
60,nonwinner01.ai,1
61,nonwinner08.ai,1
62,nonwinner02.ai,1
63,nonwinner05.ai,1
64,nonwinner07.ai,1
65,nonwinner04.ai,1
66,nonwinner06.ai,1
67,nonwinner03.ai,1
68,nonwinner10.ai,1
69,nonwinner09.ai,1
70,nonwinner01.ai,1
71,nonwinner08.ai,1
72,nonwinner02.ai,1
73,nonwinner05.ai,1
74,nonwinner07.ai,1
75,nonwinner04.ai,1
76,nonwinner06.ai,1
77,nonwinner03.ai,1
78,nonwinner10.ai,1
79,nonwinner09.ai,1
80,nonwinner01.ai,1
81,nonwinner08.ai,1
82,nonwinner02.ai,1
83,nonwinner05.ai,1
84,nonwinner07.ai,1
85,nonwinner04.ai,1
86,nonwinner06.ai,1
87,nonwinner03.ai,1
88,nonwinner10.ai,1
89,nonwinner09.ai,1
90,nonwinner01.ai,1
91,nonwinner08.ai,1
92,nonwinner02.ai,1
93,nonwinner05.ai,1
94,nonwinner07.ai,1
95,nonwinner04.ai,1
96,nonwinner06.ai,1
97,nonwinner03.ai,1
98,nonwinner10.ai,1
99,nonwinner09.ai,1
100,nonwinner01.ai,1
101,nonwinner08.ai,1
102,nonwinner02.ai,1
103,nonwinner05.ai,1
104,nonwinner07.ai,1
105,nonwinner04.ai,1
106,nonwinner06.ai,1
107,nonwinner03.ai,1
108,nonwinner10.ai,1
109,nonwinner09.ai,1
110,nonwinner01.ai,1
111,nonwinner08.ai,1
112,nonwinner02.ai,1
113,nonwinner05.ai,1
114,nonwinner07.ai,1
115,nonwinner04.ai,1
116,nonwinner06.ai,1
117,nonwinner03.ai,1
118,nonwinner10.ai,1
119,nonwinner09.ai,1
120,nonwinner01.ai,1
121,nonwinner08.ai,1
122,nonwinner02.ai,1
123,nonwinner05.ai,1
124,nonwinner07.ai,1
125,nonwinner04.ai,1
126,nonwinner06.ai,1
127,nonwinner03.ai,1
128,nonwinner10.ai,1
129,nonwinner09.ai,1
130,nonwinner01.ai,1
131,nonwinner08.ai,1
132,nonwinner02.ai,1
133,nonwinner05.ai,1
134,nonwinner07.ai,1
135,nonwinner04.ai,1
136,nonwinner06.ai,1
137,nonwinner03.ai,1
138,nonwinner10.ai,1
139,nonwinner09.ai,1
140,nonwinner01.ai,1
141,nonwinner08.ai,1
142,nonwinner02.ai,1
143,nonwinner05.ai,1
144,nonwinner07.ai,1
145,nonwinner04.ai,1
146,nonwinner06.ai,1
147,nonwinner03.ai,1
148,nonwinner10.ai,1
149,nonwinner09.ai,1
150,nonwinner01.ai,1
151,nonwinner08.ai,1
152,nonwinner02.ai,1
153,nonwinner05.ai,1
154,nonwinner07.ai,1
155,nonwinner04.ai,1
156,nonwinner06.ai,1
157,nonwinner03.ai,1
158,nonwinner10.ai,1
159,nonwinner09.ai,1
160,nonwinner01.ai,1
161,nonwinner08.ai,1
162,nonwinner02.ai,1
163,nonwinner05.ai,1
164,nonwinner07.ai,1
165,nonwinner04.ai,1
166,nonwinner06.ai,1
167,nonwinner03.ai,1
168,nonwinner10.ai,1
169,nonwinner09.ai,1
170,nonwinner01.ai,1
171,nonwinner08.ai,1
172,nonwinner02.ai,1
173,nonwinner05.ai,1
174,nonwinner07.ai,1
175,nonwinner04.ai,1
176,nonwinner06.ai,1
177,nonwinner03.ai,1
178,nonwinner10.ai,1
179,nonwinner09.ai,1
180,nonwinner01.ai,1
181,nonwinner08.ai,1
182,nonwinner02.ai,1
183,nonwinner05.ai,1
184,nonwinner07.ai,1
185,nonwinner04.ai,1
186,nonwinner06.ai,1
187,nonwinner03.ai,1
188,nonwinner10.ai,1
189,nonwinner09.ai,1
190,nonwinner01.ai,1
191,nonwinner08.ai,1
192,nonwinner02.ai,1
193,nonwinner05.ai,1
