part,up,tier,position
AAA-14R_002,1,1,6
AAA-14R_003,2,3,27
AAA-14R_003,4,3,53
AAA-14R_004,2,3,13
AAA-14R_004,4,2,36
AAA-14R_004,4,1,56
AAA-14R_006,3,3,31
AAA-14R_007,1,2,3
AAA-14R_007,1,2,16
AAA-14R_008,1,3,5
AAA-14R_009,3,3,45
AAA-14R_009,3,2,48
AAA-14R_010,1,3,16
AAA-14R_011,1,2,3
AAA-14R_011,4,3,54
AAA-14R_012,1,3,1
AAA-14R_012,2,3,11
AAA-14R_012,3,1,46
AAA-14R_013,2,2,26
AAA-14R_013,3,3,46
AAA-14R_015,3,2,44
AAA-14R_015,4,3,41
AAA-14R_015,4,3,50
AAA-14R_016,2,2,24
AAA-14R_018,2,3,25
AAA-14R_018,3,3,44
AAA-14R_018,3,2,49
AAA-14R_018,4,2,39
AAA-14R_019,2,1,22
AAA-14R_019,4,3,42
AAA-14R_020,1,3,15
AAA-14R_020,3,3,43
AAA-14R_021,2,2,27
AAA-14R_023,1,3,17
AAA-14R_023,2,3,12
AAA-14R_023,4,2,56
