TKT,I1,P,Up
307,nonwinner01.ai,1,1
130,nonwinner09.ai,1,1
78,nonwinner10.ai,1,1
456,nonwinner13.ai,1,1
283,nonwinner07.ai,1,1
655,winner02.ai,1,1
111,nonwinner13.ai,1,1
633,nonwinner10.ai,1,1
653,winner02.ai,1,1
279,nonwinner14.ai,1,1
612,nonwinner08.ai,1,2
38,nonwinner04.ai,1,2
486,nonwinner13.ai,1,2
325,nonwinner09.ai,1,2
64,nonwinner05.ai,1,2
70,nonwinner09.ai,1,2
229,nonwinner05.ai,1,2
397,nonwinner01.ai,1,2
531,nonwinner13.ai,1,2
544,nonwinner05.ai,1,2
624,nonwinner14.ai,1,3
503,nonwinner04.ai,1,3
576,nonwinner13.ai,1,3
219,nonwinner14.ai,1,3
204,nonwinner14.ai,1,3
607,nonwinner01.ai,1,3
258,nonwinner10.ai,1,3
25,nonwinner09.ai,1,3
93,nonwinner10.ai,1,3
119,nonwinner03.ai,1,3
246,nonwinner13.ai,1,4
249,nonwinner14.ai,1,4
529,nonwinner05.ai,1,4
250,nonwinner09.ai,1,4
257,nonwinner11.ai,1,4
161,nonwinner15.ai,1,4
258,nonwinner10.ai,1,4
487,nonwinner01.ai,1,4
383,nonwinner04.ai,1,4
30,nonwinner12.ai,1,4
584,nonwinner03.ai,1,5
406,nonwinner02.ai,1,5
377,nonwinner11.ai,1,5
357,nonwinner08.ai,1,5
169,nonwinner05.ai,1,5
481,nonwinner02.ai,1,5
233,nonwinner04.ai,1,5
449,nonwinner03.ai,1,5
198,nonwinner10.ai,1,5
619,nonwinner05.ai,1,5
379,nonwinner05.ai,1,6
304,nonwinner05.ai,1,6
458,nonwinner04.ai,1,6
118,nonwinner07.ai,1,6
80,nonwinner06.ai,1,6
539,nonwinner03.ai,1,6
475,nonwinner09.ai,1,6
501,nonwinner13.ai,1,6
336,nonwinner13.ai,1,6
12,nonwinner08.ai,1,6
350,nonwinner06.ai,1,7
603,nonwinner10.ai,1,7
457,nonwinner01.ai,1,7
648,hold14.ai,1,7
423,nonwinner10.ai,1,7
569,nonwinner03.ai,1,7
629,nonwinner03.ai,1,7
410,nonwinner06.ai,1,7
633,nonwinner10.ai,1,7
227,nonwinner11.ai,1,7
138,nonwinner10.ai,1,8
195,nonwinner12.ai,1,8
258,nonwinner10.ai,1,8
429,nonwinner14.ai,1,8
541,nonwinner02.ai,1,8
52,nonwinner01.ai,1,8
330,nonwinner12.ai,1,8
17,nonwinner11.ai,1,8
32,nonwinner11.ai,1,8
490,nonwinner09.ai,1,8
448,nonwinner07.ai,1,1
210,nonwinner12.ai,1,1
295,nonwinner09.ai,1,1
284,nonwinner03.ai,1,1
452,nonwinner11.ai,1,1
245,nonwinner06.ai,1,1
393,nonwinner10.ai,1,1
642,hold08.ai,1,1
96,nonwinner13.ai,1,1
333,nonwinner10.ai,1,1
515,nonwinner06.ai,1,2
374,nonwinner03.ai,1,2
95,nonwinner06.ai,1,2
220,nonwinner09.ai,1,2
241,nonwinner02.ai,1,2
145,nonwinner09.ai,1,2
482,nonwinner11.ai,1,2
214,nonwinner05.ai,1,2
93,nonwinner10.ai,1,2
435,nonwinner12.ai,1,2
426,nonwinner13.ai,1,3
56,nonwinner15.ai,1,3
659,winner02.ai,1,3
639,hold05.ai,1,3
600,nonwinner12.ai,1,3
615,nonwinner12.ai,1,3
445,nonwinner09.ai,1,3
623,nonwinner04.ai,1,3
366,nonwinner13.ai,1,3
492,nonwinner08.ai,1,3
501,nonwinner13.ai,1,4
376,nonwinner02.ai,1,4
224,nonwinner03.ai,1,4
223,nonwinner07.ai,1,4
195,nonwinner12.ai,1,4
88,nonwinner07.ai,1,4
534,nonwinner14.ai,1,4
437,nonwinner11.ai,1,4
145,nonwinner09.ai,1,4
71,nonwinner15.ai,1,4
80,nonwinner06.ai,1,5
645,hold11.ai,1,5
143,nonwinner04.ai,1,5
329,nonwinner03.ai,1,5
405,nonwinner12.ai,1,5
501,nonwinner13.ai,1,5
234,nonwinner14.ai,1,5
85,nonwinner09.ai,1,5
361,nonwinner02.ai,1,5
157,nonwinner01.ai,1,5
149,nonwinner03.ai,1,6
573,nonwinner10.ai,1,6
7,nonwinner01.ai,1,6
111,nonwinner13.ai,1,6
300,nonwinner12.ai,1,6
112,nonwinner01.ai,1,6
186,nonwinner13.ai,1,6
63,nonwinner10.ai,1,6
654,winner02.ai,1,6
108,nonwinner10.ai,1,6
15,nonwinner12.ai,1,7
392,nonwinner11.ai,1,7
234,nonwinner14.ai,1,7
297,nonwinner08.ai,1,7
75,nonwinner12.ai,1,7
428,nonwinner04.ai,1,7
82,nonwinner01.ai,1,7
212,nonwinner11.ai,1,7
534,nonwinner14.ai,1,7
482,nonwinner11.ai,1,7
446,nonwinner15.ai,1,8
451,nonwinner02.ai,1,8
272,nonwinner11.ai,1,8
539,nonwinner03.ai,1,8
283,nonwinner07.ai,1,8
179,nonwinner03.ai,1,8
160,nonwinner09.ai,1,8
337,nonwinner01.ai,1,8
359,nonwinner03.ai,1,8
103,nonwinner07.ai,1,8
138,nonwinner10.ai,1,1
508,nonwinner07.ai,1,1
565,nonwinner09.ai,1,1
398,nonwinner04.ai,1,1
101,nonwinner15.ai,1,1
107,nonwinner11.ai,1,1
380,nonwinner06.ai,1,1
594,nonwinner14.ai,1,1
321,nonwinner13.ai,1,1
93,nonwinner10.ai,1,1
379,nonwinner05.ai,1,2
633,nonwinner10.ai,1,2
607,nonwinner01.ai,1,2
620,nonwinner06.ai,1,2
481,nonwinner02.ai,1,2
22,nonwinner01.ai,1,2
301,nonwinner02.ai,1,2
396,nonwinner13.ai,1,2
626,nonwinner15.ai,1,2
429,nonwinner14.ai,1,2
284,nonwinner03.ai,1,3
184,nonwinner05.ai,1,3
333,nonwinner10.ai,1,3
572,nonwinner11.ai,1,3
327,nonwinner08.ai,1,3
644,hold10.ai,1,3
179,nonwinner03.ai,1,3
265,nonwinner09.ai,1,3
295,nonwinner09.ai,1,3
549,nonwinner14.ai,1,3
655,winner02.ai,1,4
65,nonwinner06.ai,1,4
373,nonwinner07.ai,1,4
233,nonwinner04.ai,1,4
211,nonwinner02.ai,1,4
192,nonwinner08.ai,1,4
587,nonwinner11.ai,1,4
596,nonwinner15.ai,1,4
318,nonwinner10.ai,1,4
165,nonwinner12.ai,1,4
588,nonwinner10.ai,1,5
575,nonwinner06.ai,1,5
68,nonwinner04.ai,1,5
531,nonwinner13.ai,1,5
475,nonwinner09.ai,1,5
622,nonwinner01.ai,1,5
521,nonwinner15.ai,1,5
608,nonwinner04.ai,1,5
394,nonwinner05.ai,1,5
604,nonwinner05.ai,1,5
470,nonwinner06.ai,1,6
349,nonwinner05.ai,1,6
59,nonwinner03.ai,1,6
275,nonwinner06.ai,1,6
550,nonwinner09.ai,1,6
299,nonwinner03.ai,1,6
166,nonwinner02.ai,1,6
56,nonwinner15.ai,1,6
107,nonwinner11.ai,1,6
163,nonwinner07.ai,1,6
143,nonwinner04.ai,1,7
437,nonwinner11.ai,1,7
117,nonwinner08.ai,1,7
108,nonwinner10.ai,1,7
194,nonwinner03.ai,1,7
178,nonwinner07.ai,1,7
425,nonwinner06.ai,1,7
179,nonwinner03.ai,1,7
10,nonwinner09.ai,1,7
660,winner02.ai,1,7
265,nonwinner09.ai,1,8
624,nonwinner14.ai,1,8
25,nonwinner09.ai,1,8
649,hold15.ai,1,8
655,winner02.ai,1,8
427,nonwinner01.ai,1,8
637,hold03.ai,1,8
529,nonwinner05.ai,1,8
156,nonwinner13.ai,1,8
45,nonwinner12.ai,1,8
412,nonwinner01.ai,1,1
359,nonwinner03.ai,1,1
367,nonwinner01.ai,1,1
622,nonwinner01.ai,1,1
332,nonwinner11.ai,1,1
410,nonwinner06.ai,1,1
275,nonwinner06.ai,1,1
645,hold11.ai,1,1
169,nonwinner05.ai,1,1
348,nonwinner10.ai,1,1
89,nonwinner03.ai,1,2
327,nonwinner08.ai,1,2
166,nonwinner02.ai,1,2
595,nonwinner09.ai,1,2
148,nonwinner07.ai,1,2
602,nonwinner11.ai,1,2
186,nonwinner13.ai,1,2
293,nonwinner04.ai,1,2
619,nonwinner05.ai,1,2
520,nonwinner09.ai,1,2
641,hold07.ai,1,3
248,nonwinner04.ai,1,3
411,nonwinner13.ai,1,3
487,nonwinner01.ai,1,3
121,nonwinner02.ai,1,3
304,nonwinner05.ai,1,3
183,nonwinner10.ai,1,3
144,nonwinner14.ai,1,3
255,nonwinner12.ai,1,3
