TKT,I1,P
1,nonwinner02.ai,1
2,nonwinner11.ai,1
3,nonwinner10.ai,1
4,nonwinner05.ai,1
5,nonwinner06.ai,1
6,nonwinner13.ai,1
7,nonwinner01.ai,1
8,nonwinner04.ai,1
9,nonwinner14.ai,1
10,nonwinner09.ai,1
11,nonwinner15.ai,1
12,nonwinner08.ai,1
13,nonwinner07.ai,1
14,nonwinner03.ai,1
15,nonwinner12.ai,1
16,nonwinner02.ai,1
17,nonwinner11.ai,1
18,nonwinner10.ai,1
19,nonwinner05.ai,1
20,nonwinner06.ai,1
21,nonwinner13.ai,1
22,nonwinner01.ai,1
23,nonwinner04.ai,1
24,nonwinner14.ai,1
25,nonwinner09.ai,1
26,nonwinner15.ai,1
27,nonwinner08.ai,1
28,nonwinner07.ai,1
29,nonwinner03.ai,1
30,nonwinner12.ai,1
31,nonwinner02.ai,1
32,nonwinner11.ai,1
33,nonwinner10.ai,1
34,nonwinner05.ai,1
35,nonwinner06.ai,1
36,nonwinner13.ai,1
37,nonwinner01.ai,1
38,nonwinner04.ai,1
39,nonwinner14.ai,1
40,nonwinner09.ai,1
41,nonwinner15.ai,1
42,nonwinner08.ai,1
43,nonwinner07.ai,1
44,nonwinner03.ai,1
45,nonwinner12.ai,1
46,nonwinner02.ai,1
47,nonwinner11.ai,1
48,nonwinner10.ai,1
49,nonwinner05.ai,1
50,nonwinner06.ai,1
51,nonwinner13.ai,1
52,nonwinner01.ai,1
53,nonwinner04.ai,1
54,nonwinner14.ai,1
55,nonwinner09.ai,1
56,nonwinner15.ai,1
57,nonwinner08.ai,1
58,nonwinner07.ai,1
59,nonwinner03.ai,1
60,nonwinner12.ai,1
61,nonwinner02.ai,1
62,nonwinner11.ai,1
63,nonwinner10.ai,1
64,nonwinner05.ai,1
65,nonwinner06.ai,1
66,nonwinner13.ai,1
67,nonwinner01.ai,1
68,nonwinner04.ai,1
69,nonwinner14.ai,1
70,nonwinner09.ai,1
71,nonwinner15.ai,1
72,nonwinner08.ai,1
73,nonwinner07.ai,1
74,nonwinner03.ai,1
75,nonwinner12.ai,1
76,nonwinner02.ai,1
77,nonwinner11.ai,1
78,nonwinner10.ai,1
79,nonwinner05.ai,1
80,nonwinner06.ai,1
81,nonwinner13.ai,1
82,nonwinner01.ai,1
83,nonwinner04.ai,1
84,nonwinner14.ai,1
85,nonwinner09.ai,1
86,nonwinner15.ai,1
87,nonwinner08.ai,1
88,nonwinner07.ai,1
89,nonwinner03.ai,1
90,nonwinner12.ai,1
91,nonwinner02.ai,1
92,nonwinner11.ai,1
93,nonwinner10.ai,1
94,nonwinner05.ai,1
95,nonwinner06.ai,1
96,nonwinner13.ai,1
97,nonwinner01.ai,1
98,nonwinner04.ai,1
99,nonwinner14.ai,1
100,nonwinner09.ai,1
101,nonwinner15.ai,1
102,nonwinner08.ai,1
103,nonwinner07.ai,1
104,nonwinner03.ai,1
105,nonwinner12.ai,1
106,nonwinner02.ai,1
107,nonwinner11.ai,1
108,nonwinner10.ai,1
109,nonwinner05.ai,1
110,nonwinner06.ai,1
111,nonwinner13.ai,1
112,nonwinner01.ai,1
113,nonwinner04.ai,1
114,nonwinner14.ai,1
115,nonwinner09.ai,1
116,nonwinner15.ai,1
117,nonwinner08.ai,1
118,nonwinner07.ai,1
119,nonwinner03.ai,1
