part,up,tier,position
AAA-14R_001,3,1,5
AAA-14R_001,17,3,33
AAA-14R_001,26,3,51
AAA-14R_003,13,2,25
AAA-14R_003,18,1,35
AAA-14R_003,20,3,40
AAA-14R_004,8,1,15
AAA-14R_005,11,3,21
AAA-14R_006,13,3,25
AAA-14R_006,25,3,50
AAA-14R_007,2,2,3
AAA-14R_007,6,2,12
AAA-14R_008,5,2,10
AAA-14R_008,21,2,42
AAA-14R_010,4,3,7
AAA-14R_010,18,3,36
AAA-14R_011,17,3,33
AAA-14R_012,7,3,14
AAA-14R_012,8,3,16
AAA-14R_013,6,3,11
AAA-14R_015,17,3,34
AAA-14R_016,4,1,8
AAA-14R_016,9,1,18
AAA-14R_016,27,3,53
AAA-14R_018,16,2,32
AAA-14R_019,14,3,28
AAA-14R_019,20,3,40
AAA-14R_019,23,3,46
AAA-14R_020,25,2,49
AAA-14R_021,11,3,22
AAA-14R_021,15,2,30
AAA-14R_021,19,2,38
AAA-14R_021,26,2,51
AAA-14R_023,17,3,33
AAA-14R_025,2,1,4
AAA-14R_025,15,2,29
AAA-14R_025,22,3,43
AAA-14R_026,6,3,12
AAA-14R_026,7,3,14
AAA-14R_026,10,3,19
AAA-14R_027,1,3,2
AAA-14R_027,26,3,52
AAA-14R_027,27,3,54
AAA-14R_028,18,3,35
AAA-14R_029,25,2,50
AAA-14R_030,21,3,41
AAA-14R_031,16,3,32
AAA-14R_031,19,3,38
AAA-14R_032,15,3,29
AAA-14R_032,23,2,46
AAA-14R_033,23,1,45
AAA-14R_033,24,3,48
AAA-14R_035,11,3,22
AAA-14R_037,4,2,7
AAA-14R_039,10,3,19
AAA-14R_039,15,3,30
AAA-14R_040,21,1,41
AAA-14R_040,25,1,49
AAA-14R_041,26,2,52
AAA-14R_042,6,1,11
AAA-14R_043,5,3,10
AAA-14R_043,8,3,16
AAA-14R_044,2,3,4
AAA-14R_044,7,2,13
AAA-14R_044,7,3,14
AAA-14R_044,12,3,23
AAA-14R_044,13,3,25
AAA-14R_046,14,2,28
AAA-14R_046,16,3,32
AAA-14R_046,19,3,37
AAA-14R_046,19,1,38
AAA-14R_046,20,3,40
AAA-14R_047,21,3,41
AAA-14R_049,6,3,12
AAA-14R_049,11,1,21
AAA-14R_049,23,3,46
AAA-14R_051,28,3,55
AAA-14R_052,5,2,10
AAA-14R_054,14,3,27
AAA-14R_055,3,3,6
AAA-14R_055,17,3,33
AAA-14R_055,18,3,36
AAA-14R_056,1,3,1
AAA-14R_057,15,3,29
AAA-14R_057,18,2,35
AAA-14R_058,2,3,3
AAA-14R_058,7,2,13
AAA-14R_058,19,2,37
AAA-14R_058,28,1,55
AAA-14R_059,3,2,5
AAA-14R_059,23,3,45
AAA-14R_059,24,1,48
AAA-14R_060,3,3,6
AAA-14R_061,2,3,4
AAA-14R_061,22,2,43
AAA-14R_062,10,3,20
AAA-14R_063,4,3,7
AAA-14R_063,7,1,13
AAA-14R_063,14,3,27
AAA-14R_064,5,3,9
AAA-14R_064,27,2,53
AAA-14R_065,5,3,9
AAA-14R_067,18,3,36
AAA-14R_068,11,2,22
AAA-14R_068,22,2,44
AAA-14R_069,24,3,47
AAA-14R_070,4,3,7
AAA-14R_070,28,3,56
AAA-14R_071,12,3,23
AAA-14R_072,2,2,3
AAA-14R_072,8,2,16
AAA-14R_072,25,3,49
AAA-14R_073,27,1,53
AAA-14R_074,18,3,36
AAA-14R_074,20,2,40
AAA-14R_075,18,2,36
AAA-14R_076,3,3,5
AAA-14R_076,9,2,18
AAA-14R_077,27,2,53
AAA-14R_078,8,3,16
AAA-14R_078,28,2,55
AAA-14R_079,15,3,30
AAA-14R_081,5,3,10
AAA-14R_081,6,3,11
AAA-14R_082,3,3,6
AAA-14R_082,16,2,32
AAA-14R_084,3,2,6
AAA-14R_084,10,1,19
AAA-14R_084,14,2,28
AAA-14R_085,14,2,28
AAA-14R_087,6,3,11
AAA-14R_087,10,2,19
AAA-14R_087,23,3,45
AAA-14R_088,16,3,31
AAA-14R_088,20,3,40
AAA-14R_092,9,3,17
AAA-14R_092,20,2,40
AAA-14R_095,12,2,23
AAA-14R_096,23,2,45
AAA-14R_098,2,3,4
AAA-14R_098,16,2,31
AAA-14R_100,7,2,14
AAA-14R_100,14,3,28
AAA-14R_101,5,3,10
AAA-14R_102,9,3,18
AAA-14R_102,18,2,35
AAA-14R_102,22,3,44
