part,up,tier,position
AAA-14R_001,4,3,8
AAA-14R_002,1,2,1
AAA-14R_002,7,2,14
AAA-14R_003,7,3,14
AAA-14R_003,7,3,27
AAA-14R_003,12,3,52
AAA-14R_005,5,3,10
AAA-14R_005,8,1,29
AAA-14R_006,4,3,7
AAA-14R_006,6,3,25
AAA-14R_007,14,2,56
AAA-14R_008,3,2,19
AAA-14R_008,14,3,42
AAA-14R_009,9,1,32
AAA-14R_009,14,3,42
AAA-14R_010,3,3,5
AAA-14R_011,5,2,24
AAA-14R_011,11,2,50
AAA-14R_012,4,1,22
AAA-14R_013,7,1,28
AAA-14R_013,14,3,55
AAA-14R_014,1,3,15
AAA-14R_014,7,2,28
AAA-14R_015,2,1,17
AAA-14R_016,2,3,4
AAA-14R_016,4,3,22
AAA-14R_016,8,2,43
AAA-14R_016,12,2,51
AAA-14R_017,7,3,27
AAA-14R_018,7,3,28
AAA-14R_018,10,3,34
AAA-14R_019,3,2,20
AAA-14R_019,10,3,33
AAA-14R_020,10,3,48
AAA-14R_021,11,2,36
AAA-14R_022,5,3,23
AAA-14R_022,7,3,14
AAA-14R_022,13,3,40
AAA-14R_023,4,2,8
AAA-14R_024,9,3,31
AAA-14R_024,10,2,47
AAA-14R_024,11,3,49
AAA-14R_024,11,3,50
AAA-14R_024,12,3,38
AAA-14R_026,1,2,16
AAA-14R_026,12,3,51
AAA-14R_027,4,3,7
AAA-14R_028,5,3,9
AAA-14R_029,12,2,51
AAA-14R_030,3,3,5
AAA-14R_030,9,3,32
AAA-14R_031,1,1,1
AAA-14R_031,11,3,35
AAA-14R_032,13,2,40
AAA-14R_033,5,3,10
AAA-14R_034,3,3,5
AAA-14R_036,6,2,11
AAA-14R_037,8,3,29
AAA-14R_038,1,3,1
AAA-14R_039,9,3,31
AAA-14R_039,10,2,47
AAA-14R_040,1,3,1
AAA-14R_040,12,3,37
AAA-14R_042,9,3,31
AAA-14R_042,13,2,53
AAA-14R_044,2,3,18
AAA-14R_044,8,3,44
AAA-14R_045,5,1,24
AAA-14R_046,8,2,44
AAA-14R_046,13,3,54
AAA-14R_047,2,3,3
AAA-14R_047,6,3,26
AAA-14R_047,8,3,44
AAA-14R_047,11,2,35
AAA-14R_047,13,3,40
AAA-14R_047,14,3,56
AAA-14R_048,1,3,2
AAA-14R_048,2,2,18
AAA-14R_049,10,2,47
AAA-14R_050,9,2,46
AAA-14R_050,10,1,34
AAA-14R_051,8,3,44
AAA-14R_051,13,1,39
AAA-14R_052,9,2,32
AAA-14R_052,11,3,35
AAA-14R_053,2,3,4
AAA-14R_056,9,2,45
AAA-14R_058,4,3,7
AAA-14R_058,12,1,51
AAA-14R_058,12,3,52
AAA-14R_059,4,2,21
AAA-14R_061,3,2,6
AAA-14R_062,2,3,18
AAA-14R_062,3,1,5
AAA-14R_063,4,2,8
AAA-14R_064,13,3,53
AAA-14R_065,6,3,26
AAA-14R_066,2,2,18
AAA-14R_067,6,2,12
AAA-14R_067,10,3,48
AAA-14R_069,6,3,12
AAA-14R_069,11,1,49
AAA-14R_070,9,3,46
AAA-14R_072,5,2,9
AAA-14R_072,14,2,55
AAA-14R_074,1,2,1
AAA-14R_074,6,2,11
AAA-14R_074,14,3,56
AAA-14R_075,5,3,23
AAA-14R_075,11,3,35
AAA-14R_075,13,2,39
AAA-14R_076,3,3,5
AAA-14R_076,13,3,40
AAA-14R_077,8,3,43
AAA-14R_078,7,2,14
AAA-14R_078,8,2,44
AAA-14R_079,6,3,25
AAA-14R_079,12,2,37
AAA-14R_079,14,2,41
AAA-14R_080,2,2,17
AAA-14R_080,10,3,34
AAA-14R_081,3,3,20
AAA-14R_082,1,3,16
AAA-14R_083,5,2,24
AAA-14R_084,6,1,26
AAA-14R_084,14,1,55
